Battle,Turns,Reward,Result
1,3,1.2115384615384615,Win
2,3,1.1650485436893203,Win
3,3,1.24,Win
4,3,1.1717171717171717,Win
5,3,1.2363636363636363,Win
6,3,1.290909090909091,Win
7,3,1.1764705882352942,Win
8,3,1.2190476190476192,Win
9,4,1.0263157894736843,Win
10,3,1.2571428571428571,Win
11,3,1.1764705882352942,Win
12,3,1.2352941176470589,Win
13,3,1.1559633027522935,Win
14,3,1.2830188679245282,Win
15,3,1.156862745098039,Win
16,3,1.2293577981651376,Win
17,3,1.2190476190476192,Win
18,3,1.2857142857142856,Win
19,4,1.027027027027027,Win
20,3,1.22,Win
21,3,1.1214953271028036,Win
22,4,1.036697247706422,Win
23,3,1.263157894736842,Win
24,3,1.2692307692307692,Win
25,3,1.1111111111111112,Win
26,3,1.2952380952380953,Win
27,3,1.262135922330097,Win
28,3,1.3027522935779816,Win
29,3,1.22,Win
30,3,1.158878504672897,Win
31,3,1.2452830188679245,Win
32,3,1.22,Win
33,3,1.263157894736842,Win
34,3,1.0196078431372548,Win
35,3,1.2857142857142856,Win
36,3,1.276190476190476,Win
37,3,1.2,Win
38,3,1.2549019607843137,Win
39,3,1.2566371681415929,Win
40,3,1.0505050505050506,Win
41,3,1.3333333333333333,Win
42,3,1.1150442477876106,Win
43,3,1.2884615384615383,Win
44,3,1.1607142857142858,Win
45,3,1.2475247524752475,Win
46,3,1.0892857142857142,Win
47,3,1.2456140350877192,Win
48,3,1.0485436893203883,Win
49,3,1.2727272727272727,Win
50,3,1.2592592592592593,Win
51,3,1.2323232323232323,Win
52,3,1.2830188679245282,Win
53,4,1.131578947368421,Win
54,3,1.2727272727272727,Win
55,3,1.029126213592233,Win
56,3,1.2792792792792793,Win
57,3,1.0576923076923077,Win
58,3,1.2710280373831775,Win
59,3,1.1313131313131313,Win
60,3,1.2121212121212122,Win
61,3,1.2641509433962264,Win
62,3,1.1111111111111112,Win
63,3,1.2233009708737863,Win
64,3,1.2264150943396226,Win
65,3,1.2432432432432432,Win
66,3,1.320754716981132,Win
67,3,1.196078431372549,Win
68,3,1.262135922330097,Win
69,3,1.0392156862745099,Win
70,3,1.1538461538461537,Win
71,3,1.2641509433962264,Win
72,3,1.2352941176470589,Win
73,3,1.1923076923076923,Win
74,3,1.1401869158878504,Win
75,3,1.16,Win
76,3,1.2105263157894737,Win
77,3,1.1886792452830188,Win
78,3,1.2,Win
79,3,1.2321428571428572,Win
80,3,1.25,Win
81,3,1.2252252252252251,Win
82,3,1.2121212121212122,Win
83,3,1.102803738317757,Win
84,3,1.2660550458715596,Win
85,3,1.2844036697247707,Win
86,3,1.1962616822429906,Win
87,3,1.1730769230769231,Win
88,3,1.1858407079646018,Win
89,4,1.018181818181818,Win
90,3,1.276190476190476,Win
91,3,1.2037037037037037,Win
92,4,1.018181818181818,Win
93,3,1.00990099009901,Win
94,3,1.1287128712871288,Win
95,4,1.0091743119266054,Win
96,3,1.2072072072072073,Win
97,3,1.290909090909091,Win
98,3,1.3142857142857143,Win
99,3,1.262135922330097,Win
100,3,1.1515151515151516,Win
